model,mean_accuracy_proxy,mean_pearson_correlation,score
semantic_prior,0.6990191217929878,0.3560708719221628,0.4932501718704928
ridge,0.7059046529373042,0.3580286947189681,0.49717907800630257
lightgbm,0.7511595210648302,0.39030382412149534,0.5346461028988293
ensemble,0.7511595210648302,0.39030382412149534,0.5346461028988293
