person_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9
uo96e,-0.9787447,-1.4356613,-3.8875604,3.9812527,5.6369734,-0.6010367,-1.9704489,0.57012993,-2.444724,0.3655317
uv0ng,-10.07182,-4.1432242,-5.1303077,2.7125888,-2.4362288,-0.7378765,2.4185443,1.8521093,-1.0758843,0.9616802
uy2vm,-0.94992393,-2.3574584,3.3904893,3.0087621,-1.8059785,-2.3658566,-4.9966865,1.57233,2.7911077,-0.061666626
v1vbi,4.1240487,1.2719436,-3.5184803,2.1647992,-0.9866753,-2.6447618,3.1937056,0.7958076,-1.3310956,-2.527457
v20pc,0.480965,-1.5263549,-2.2671757,1.1045045,-1.4662952,1.7685837,-3.3158343,0.0024656558,2.685307,-1.1448289
v2zfr,-8.363456,0.86270726,4.0741653,-1.1740814,-5.2013955,-4.537342,4.897455,-0.83523685,0.16715622,-0.7086349
v4cye,4.5592327,-2.0414371,5.6849437,-1.068803,-1.0212872,-2.0609584,0.37548032,-2.3472817,-3.2772753,2.339121
vlxvq,12.3232565,-0.17259902,-0.049139816,-2.3195524,0.6070433,1.3299091,2.7268262,0.61496633,-3.1296632,-0.9962394
vqz6r,0.85828453,2.0712764,-1.4232138,5.173132,1.9646283,5.160738,-0.28377637,-2.097655,0.95207167,0.55430096
wdfyy,-1.1241812,3.5579138,-0.67610526,4.106203,1.1725568,-2.0829978,-0.33238316,-1.5195149,-1.0393369,-1.1739792
we66f,4.549801,-6.505608,3.824625,-7.1753197,-2.1194673,6.609713,2.4573371,-1.4492488,4.027936,4.850477
wfreb,1.3237072,-3.10734,0.4694686,-4.5568604,1.4497453,-0.18066396,-1.9193574,3.377933,-1.7119182,-4.8347163
wrvfk,-3.216313,9.112779,3.2935143,-2.1576202,0.6440159,-1.0338782,-0.95975155,-1.696676,0.86900574,-0.7320295
wsyy4,2.6708846,-6.572363,-5.88926,-0.7728787,-4.813134,-2.5657754,-0.7513764,1.168259,-1.7180097,2.76988
wwm84,-2.2357893,2.0919263,-5.404639,-1.5386782,-4.4331546,4.0939517,2.57511,3.8583739,1.8863785,-3.7234123
wxbai,1.7412935,0.6916851,0.96284,4.8652005,2.0855744,-0.3906416,3.2994175,1.8636407,-3.246537,-0.7694838
wz6dl,-3.1438665,7.790544,5.6697416,2.7377608,3.9532726,2.9972703,-0.7041305,1.386127,-3.5581062,3.2499192
x23wu,6.738703,-1.5387284,-3.1917539,4.564616,3.5830896,4.3415627,1.8958032,2.0984879,-0.53243005,0.57047045
x8lvd,2.1863658,1.0623193,3.445613,-5.2259936,-0.86124265,-0.27840954,-4.3409758,-2.6380548,3.2661543,-0.23849523
xhlgi,-5.7432,-0.23656245,3.7794473,-5.7931986,1.350629,-0.29108313,-2.2346487,2.482533,-8.451829,0.31889424
xj2yb,-7.235269,-8.561517,-0.065156326,1.6260651,6.7944565,8.247297,1.8542138,-0.5334707,-0.4264585,-1.5899521
y2eke,-17.933174,-14.723208,2.2096758,3.0936465,-1.4978622,3.8272226,0.6695687,-0.7733135,-4.894763,2.2359474
y2ysu,4.665533,-6.408396,-3.4273841,1.1734763,-3.5831683,2.2547915,-2.2415893,-2.0277002,1.1476504,-4.137037
y78ay,3.9012175,1.9987432,-5.3000164,-2.0518844,2.4714339,-2.8968909,1.7486198,-1.0719131,1.0702848,1.1780385
yfl6g,13.981994,-0.6342582,-1.7275218,2.7075622,2.1249423,-2.0450158,2.167114,4.0717096,-1.4274743,-1.0735422
z2bfu,7.1082006,-3.4613757,2.2401118,-3.6428494,-2.3944843,2.773732,3.148117,0.46367827,0.28254792,-0.005033855
zenjf,0.16562548,-9.62661,-8.386197,1.7346175,-2.0633974,6.3793144,3.6275532,1.8157766,-1.2520797,0.5854892
zgz4t,4.0782094,7.60516,-1.0531892,-1.2163444,-0.33040118,-3.4217324,-2.2462168,0.5846286,0.06940151,-1.4724907
zlfti,6.326271,-4.71324,-1.4726424,-1.015164,-0.057948392,-2.20188,-6.4489245,-4.03961,-1.0569106,-1.8775603
ztc36,10.9996,1.7254474,4.5701184,1.9211423,-1.0193104,2.1173391,3.544872,-3.6013286,-3.0289295,2.3836577
