person_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9
8fkgi,2.0648217,-2.4512134,-0.4572644,1.8810811,-2.3792634,-3.6245825,-0.72167146,-0.8612683,1.6883675,-1.8562454
8ij30,1.4885188,-1.6712006,-1.1215874,0.9738997,-0.8068404,1.1881639,0.13401555,-3.8634245,0.935543,-0.56251
8ka4n,-2.1042485,2.6802428,0.6474994,6.332501,-0.33085683,-0.5108559,-0.63808095,1.1424277,5.9895673,-3.7269135
8r5lt,-3.323579,0.39338842,-1.7711343,1.3309721,0.7696812,-3.3043106,-1.9921136,2.5103614,-1.5509981,-0.71047235
8tr2p,-4.1607714,-0.41334707,7.181694,-1.1484705,0.380847,2.6868165,-2.3332384,0.83406407,1.8189087,-1.3856438
906gx,-5.235928,9.12914,0.62322235,5.3055267,-4.12535,5.924282,-2.046156,3.708572,0.47302514,0.96192175
9duy2,4.3968515,2.1871285,-2.4646323,3.2764893,0.999479,-0.19452609,1.0956668,0.020652832,-1.9552943,0.9490163
9o70p,-8.176568,6.2648587,-5.867642,-4.623489,-0.08642141,0.8020974,-1.0270928,-2.327542,-0.61716825,4.376522
9vwzo,-1.1599506,-0.06777606,-2.839584,-4.0693674,3.5788078,-0.22841673,-0.17175822,2.6825023,2.2872498,-0.813098
a53lx,8.586321,-0.98102516,0.7297938,-2.3433948,3.6391757,0.07295891,0.88892466,2.064978,-1.4422047,-2.452764
a6adz,-0.20104946,0.4691595,2.9161906,3.3506548,0.41702938,-1.0778068,2.4079802,0.99215937,-1.5317277,1.9497373
a8aho,4.428475,-0.46809867,-4.084266,-5.1734786,-0.60148627,-0.90992266,3.0147514,0.3318084,1.5215864,0.6664261
aev6a,-6.251724,-6.720442,5.4170246,-7.8283696,3.264198,1.2290365,3.651734,3.1562734,-3.0024242,1.3150464
afrls,-2.0621903,-5.5983,1.1150467,1.4333749,-0.8421258,0.22798046,-2.5631828,-2.7584617,1.6164103,-2.1270578
aht1w,-8.151094,10.471693,-3.7701623,-6.193748,-3.7613409,2.3376918,2.0372295,-5.0330243,2.2239761,4.660168
ahyp7,3.6062555,0.60612994,8.094589,4.7982097,-2.417719,0.5036229,2.7017567,-5.605517,-1.5673422,2.601601
amf2x,-9.218737,0.5993165,10.805499,-4.7983823,3.897686,4.8479843,1.0659688,2.3790662,0.09586532,0.1921092
anjsc,-4.116293,10.112343,5.007236,10.310258,2.735468,3.3704436,4.3197274,-1.1376762,-0.2931394,-0.72477514
arxcr,1.2295066,-4.096729,-0.45639282,4.157473,1.411159,-0.680821,-0.5088129,0.96367675,1.8274791,1.4370663
axvvp,-0.36211854,4.2439146,-5.7670546,-2.7804992,-3.7254024,-6.020934,2.0255003,-3.6909995,-4.128291,1.7490364
ayss6,-2.7184675,1.2728119,1.641572,3.5710843,-2.011602,-2.6660502,-2.505016,0.25707945,4.758463,-2.3384755
b8zaq,0.9612002,-3.2374723,2.2746348,-3.888933,1.068603,0.22971243,0.62107134,-3.824575,-3.496536,-1.484967
b9jzt,-6.443037,10.588474,-10.310186,-3.106225,-3.025642,-1.7840977,0.73538595,0.8086833,-1.1740063,-0.15115236
bbrrv,-5.45217,4.191838,-0.78035694,-1.7024835,0.6673479,-0.63851964,1.2604027,4.9438286,-3.27455,-0.66565794
bc0tc,2.0206592,2.032082,-4.7626123,1.8699418,2.3960395,-0.13063395,3.2237651,1.4037018,0.47152048,1.385317
bc89d,0.04556279,0.7975395,-1.1279017,-1.4898663,-0.3762121,1.3062801,-1.0222636,-1.8263072,1.4114662,3.1630392
bc9lg,1.0456258,-1.5581098,-3.684363,3.2064774,2.1142786,-2.0872185,-1.4660037,1.6093315,-1.0340822,-2.1960182
bf785,6.311891,-3.836591,-4.575332,0.14014173,-1.0797865,1.0750102,3.682833,0.04084589,1.6822509,-0.42897978
bhiml,7.8567934,-1.2052437,0.15896742,2.8096285,-3.575153,-1.1642538,1.1828722,3.2089324,1.2561492,-0.18848976
