person_embedding_k,accuracy,mean_pearson_r,median_pearson_r,variance_ratio,positive_questions
50,0.7300357228943208,0.30566786404412527,0.30532556772232056,0.38341601365094713,55
30,0.7300790824298502,0.30397704639113865,0.32126566767692566,0.38524345613462235,55
10,0.7305443518448727,0.3035178878631156,0.34180977940559387,0.3808283457658113,56
20,0.7304422716896672,0.30301280427151,0.3178270757198334,0.3824041966220654,57
