person_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49
1vec3,-8.927801,-2.7341285,2.3245528,1.3006448,-7.452677,0.7292137,2.3259869,-4.940033,0.7372442,-3.7348578,6.1442204,-1.9681659,-5.234021,1.8760293,-0.8961777,-1.0882195,-1.5254929,-2.1178458,-4.083102,0.11173451,0.25070834,-0.4753812,6.545042,-0.6633181,1.4265842,1.8169284,1.3432649,-1.893941,1.4748056,0.2655836,0.89539444,-0.7939872,-3.4028814,-5.6344814,2.7325892,0.85609657,-1.2757919,-1.1493481,3.4165838,-0.6536096,1.2636865,0.1970302,-1.405762,-1.6559498,1.3006947,2.961382,-0.36958766,1.4076576,-2.8522406,-0.6882102
1z7bb,3.5740845,0.8857679,-5.8079166,-1.3511044,4.5805483,-3.4149456,1.3692508,-0.4252052,0.52756536,1.1339557,3.9475687,-0.32149252,-3.3257918,1.9542034,-0.051304556,-1.5386924,-2.014258,0.407403,1.6518501,0.5947052,-1.024763,-2.6034112,0.700989,-1.7187158,-1.5511146,-1.3537288,1.3289447,0.11545332,-1.0292618,0.4625548,-2.5022175,1.3383586,0.7266169,0.83147657,0.7599553,-1.036909,1.506339,2.941743,-0.9082336,1.1937629,-1.9510198,-1.2157798,0.8742068,-0.28002656,0.962508,-0.15035936,1.3922074,0.29850394,0.50616306,0.68668175
212kx,2.3620787,0.94791895,0.54263216,-1.1257132,5.360786,-0.89233863,-4.2219577,-2.6373022,5.3299413,-1.1753829,0.057876166,-0.26742595,-5.460204,2.5307682,0.41540673,-1.1580597,-2.1164384,-1.0706497,-0.8264284,-1.5516251,1.5361941,1.5836451,-0.6738625,-2.8417192,0.7389419,0.9768689,-0.6990606,-1.1297777,2.5051506,0.90118736,0.4966073,0.386464,0.8605147,0.99715996,-0.68962514,1.3616886,-0.057951752,0.27654478,0.19938515,-0.65339524,-1.4582409,-2.4505966,-1.3151917,1.2725706,1.889776,0.7865253,1.362449,-0.23336954,0.75253046,1.530283
293vr,-4.2172327,2.1453989,2.9537735,-6.511619,-2.1697721,4.7852,1.1384691,-1.4359517,1.7500985,-0.5020265,0.19218417,-0.66983837,0.25843218,-1.7234162,0.17589682,0.3050904,-7.657507,-2.314238,4.365799,-1.9899774,2.7450972,-0.8313743,2.3868382,3.573243,-1.5922517,1.1718805,0.22297211,-3.3867404,1.5711354,2.88827,-2.320272,3.7892182,-0.322548,1.981416,0.03688212,1.4742706,-1.9952868,0.54141235,1.9581566,-1.4161737,-3.7153885,-0.9787908,2.1750617,0.7185789,1.0056715,-0.06735623,-1.0033019,-0.8693587,-1.525598,-0.5390611
29g1r,-0.3587198,-4.5854864,-1.148689,-2.03089,-2.133196,5.394658,0.2501196,-3.3905234,2.6101196,0.46646693,-1.3129221,-0.2902773,1.3341672,-2.8924978,0.05614643,-1.0624167,-0.19597924,-0.7974126,0.35630974,1.4248569,-2.397863,0.15547271,1.2561394,0.5008385,-1.0846406,0.05270518,1.2352822,1.7486188,-0.09243626,0.5786066,-0.443022,0.9731494,-0.12080706,0.23441322,-1.1236485,2.476593,-1.8700092,-0.637853,-0.56788677,-0.09429786,-1.2312524,1.999256,0.81049734,-0.23264705,-0.71588147,-0.4892513,1.491254,0.08160878,1.4260229,-0.04897185
2bpor,-10.028254,-4.5948796,0.056424495,-4.2717133,6.9797144,2.7481263,3.9934046,0.46750596,0.3360925,0.8125345,-1.4935942,-0.32386804,-0.18052924,0.26667506,0.71370715,-0.91048515,0.76261973,0.51117027,0.7294043,1.1259575,1.9954067,-0.77290916,0.7514417,-0.821032,-0.27679324,0.6949659,-1.426815,-0.14858606,-0.2745875,-0.27370843,-2.716617,0.96312886,-0.92773443,-0.043640386,-0.109023236,0.6066557,0.11822203,1.393824,-0.4752501,1.4303722,0.6539959,-1.8489732,-0.5244207,-0.33470738,-1.1090285,0.07860129,0.346716,-1.2316645,1.2712477,1.8571141
2ea2g,-3.706037,-1.5077497,1.6917937,2.6421163,4.1461086,-0.71842635,-1.2025402,0.3675396,3.127905,-3.803007,-0.17720525,0.8356104,0.51942354,-0.2574033,1.868841,-0.90112084,0.21688506,-0.12087784,-1.2580253,0.11091444,-0.5504243,0.45135042,-0.59886503,-0.64580774,0.023378724,-0.8903599,1.3917613,0.69316655,4.1210957,0.019724503,0.30219164,-2.3820617,0.067665085,1.3411524,1.3165787,0.23443633,0.044619616,0.6213231,-0.105239525,0.8970899,-0.7768534,-0.12466319,-0.27292082,1.6855658,1.9833326,3.7962935,-0.5153006,2.5059078,0.6725059,2.6231477
2g6k8,5.894737,7.4174657,-2.7379708,-1.240415,0.13584921,4.920038,-4.7829456,3.9158618,2.880124,5.936175,-2.3602366,-0.6099953,-1.7213254,2.1404543,0.16904421,-2.7816179,-0.18840969,-0.029539892,0.50787246,4.1167364,0.46461323,-1.2373161,1.0572215,-0.32342666,0.22590327,-1.3063241,-0.8675413,-1.5595797,0.3603859,-1.1025729,-0.7999235,-2.142429,0.9868871,-2.3721576,2.1440177,1.5664648,0.23554906,-2.2581534,1.211534,-1.0168948,-1.1481762,-0.13530983,-1.4037453,0.2794009,0.86399066,0.48485187,1.5078825,0.49280384,0.5051344,-0.8743832
2vz3n,4.531117,-0.26944312,4.817448,-0.9442477,-2.0919566,2.7081177,2.903191,-5.2990775,0.12743455,1.6954278,2.168148,0.99699163,-1.4991504,2.3435683,0.27419448,1.5275345,1.3957893,2.7890575,1.5655398,1.0647445,-1.667245,-0.6138018,-2.1054077,2.446313,-1.4945934,-1.7364088,-0.33608085,0.7237262,-0.7588066,-1.7716494,-1.0172032,2.3762789,2.1152122,2.7941997,0.6085412,-0.48255208,-0.33396414,-2.1071517,0.34288526,0.7348523,-0.9547815,-2.8773408,-0.35062623,0.9600438,-0.5221654,1.8845065,3.0942125,-1.393396,-1.1834337,-0.91022134
33a05,-8.0509815,-1.6258123,6.4831953,-3.285713,-3.1276114,-0.9758951,-2.761637,1.2302431,0.06692207,-4.034818,-2.017184,-0.5224419,4.1385098,4.0428166,1.4844911,-1.300989,3.9412317,-2.9792361,4.008147,1.832698,-3.7075245,-1.3361568,-3.288416,1.6355535,3.110652,0.20509599,-1.5322407,-0.73437124,1.0519936,-1.3170439,-1.3802029,-0.77560586,0.6809174,-0.74079114,-0.3324133,0.6119041,0.21874397,0.48827615,-0.14848627,-1.4746516,0.5736755,-1.2462429,-1.1927425,-0.75182843,-2.0532718,-1.449387,1.2861773,-0.6928629,-1.1590421,2.2254143
