person_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19
00a1r,2.7762125362167986,-0.936191302404488,-2.203102099966905,-1.1760474456794983,-0.4822596870499496,0.3808710498678296,1.3485805541840707,-1.092223986559222,-0.6530020872750192,-3.416253582911723,-0.08916647884568095,-0.8509301745426847,-1.8090881920596886,-1.3759495313725656,1.6540678666420634,-0.9055803014460206,-1.3978757595472078,0.7410194349487893,-0.14151520179005747,-0.3540869435555552
0cy1x,-0.6751504191540362,-6.2763427754585255,-5.523292507204367,-3.6304140116350596,-0.440379666209993,-0.6618592117236961,1.462162008329541,1.472474918246292,0.6921715307768429,-0.6364668756179358,1.2035217374074272,-1.3820628595463076,-3.331179350284768,-3.3440762128012897,2.6797275136235847,2.465363338660085,3.6111210718463442,-1.050058229208311,1.227257179450467,0.7241490583997643
0di48,4.941614074160089,-0.443686692071771,5.688268790831289,2.36623440174989,0.20874803777464895,2.138575293814547,2.9520027984806627,0.3867227131225496,-0.9309650415722069,2.2977747707099745,-1.107261384121961,0.12185494568065751,4.511952855981801,1.448448020138763,-0.8493867848930365,1.5826372265711106,-0.5612265034412975,-1.6979529356449568,-1.3193013181279085,0.6862503646374659
0ifq6,-18.42836063605721,-14.072054686961183,-1.7399343131085363,5.533204125354816,3.9151472355889108,-0.9335219608760557,-2.4280401939544634,4.6628264951985905,-1.437225942831286,0.6766817458115711,-0.04137399885995429,1.0266351474493671,-0.08757654854122524,-1.2150582011595439,-1.9482936657175967,-1.5942017859188164,0.4332520791455616,0.9271263023002488,-1.1349212777481237,-1.552374199603829
0ldjp,-7.20440882900701,10.455589190726062,-0.8715685007001264,5.186994609800638,-4.109417500533375,4.0232880104736095,-1.1881246796246854,6.408816131500844,2.4039902010222916,1.3993586729373761,1.2442090210436239,-1.5111724889853981,-3.980414126442353,0.38077415561166933,-3.094243200324869,3.7124359619147875,2.837251614678817,-1.4423127807225942,-1.4268028094452498,1.7279602627043085
0xhxd,-4.480620225969813,0.6817158475936735,5.688809125894861,0.033213093499937965,6.24673189260617,-3.836508302939142,-1.0606332613692395,-0.6213629519894139,-1.1875726918193166,0.07248216220897154,4.4127669328759485,-0.3364415061286407,-2.129091278167185,0.5346964729618904,3.7228197587762426,3.163726837945977,1.3786265888254055,1.3034789143605021,-4.4500663487547625,0.14076525935655337
17cwz,-0.27634059781305514,5.882725447626275,-5.932376109789391,1.696118586993509,1.0164372148521947,2.3937248697184144,-0.2239560684951777,0.7697389575768928,-3.024073600699856,-4.312530287193006,-0.8618825903804846,1.5087631436234084,0.9005793892995302,0.2695404400777576,2.5054775351132017,4.785946417190128,1.0894602324339084,-0.8147420805730521,0.7800928919262817,-4.517331117661927
1b3hy,4.512572800841191,-4.138489039956293,0.9765910500261278,-6.201604130189483,0.8983940150499387,-0.09138957866374274,1.2368543892730663,-2.4225674494510856,-0.4676842231162234,0.8887388293150233,1.1598656780384287,0.6816571756781107,-1.5658576521779353,-1.9748535607580637,-2.8487533721703797,-0.5099420782038785,-1.5470728160331912,-1.4174671743808103,0.9619101613800444,0.040612994829006314
1njfu,-4.055800820506553,1.613072624371767,-4.931104055072667,-2.39852401025462,0.8657698516331624,-2.5400652918199835,1.5951716456501417,0.9226507435508076,-0.1997377693367152,0.3881153094565424,-1.2480591786062605,-1.6741769615951965,0.9711084293247187,0.21679792102107714,0.6455876939852243,0.5710981262853582,0.38275324498060453,-0.7113888253575706,-0.5315710582622948,-1.6276378731666852
1o3dm,-2.1102447594828626,1.774992107599428,-7.695753761852048,-2.7106045822925062,-1.4900283017781293,-0.8953648877074825,2.0427409996833927,-0.4201097858034511,-3.567349725808228,1.1130307022385448,1.4067769289604248,-2.4023311812874852,5.296306071484042,1.3957766091384827,-0.47722451499971225,-0.4313198715071008,-1.1341537828419705,-1.8999547518265996,1.3104935946575988,0.47499493482071053
1vec3,-8.908622884952639,-2.7282525156527986,2.319568026072302,1.2978552310880207,-7.436669153877581,0.7276527459776907,2.321000458982737,-4.929418312595087,0.7357292367384296,-3.7267992362790845,6.131021795681139,-1.9637667473672014,-5.222843508946439,1.8720043770767103,-0.894249235919928,-1.0859097634153143,-1.5222202590930227,-2.1132830608119355,-4.074325108749319,0.11134691286516477
1z7bb,3.5664063470013527,0.8838488549589056,-5.7954449650970465,-1.3482065416653979,4.5707067800497905,-3.407606666786116,1.3663127399856312,-0.42428330879046255,0.5264135978867894,1.1315331822965942,3.939080329368798,-0.3206844009533524,-3.3186589239621145,1.9500015800938593,-0.051186754005557035,-1.5354090244246597,-2.0099334212724767,0.4065412648253143,1.6483021701600393,0.5934914497636767
